transaction_id,amount,payment_method,failure_reason,retry_count,customer_success_rate,previous_transaction_count,previous_failed_count,hour_of_day,day_of_week,is_subscription,days_since_last_payment,customer_tenure_days,payment_attempt_number,is_first_payment,customer_avg_transaction_amount,amount_vs_customer_average,recovered
txn_synth_000000,1093.04,Card,insufficient_funds,0,0.6858252250997495,32,7,12,2,0,7,484,1,0,2121.85,0.5151353747195354,0
txn_synth_000001,579.25,Wallet,insufficient_funds,0,0.5754272631720574,11,3,10,4,0,8,184,1,0,736.68,0.7862979748832876,0
txn_synth_000002,1271.16,Netbanking,insufficient_funds,0,0.6514174598103191,31,8,10,6,1,23,487,1,0,1309.12,0.9710034147289524,0
txn_synth_000003,3050.41,Netbanking,exceeds_limit,0,0.9004489308044198,30,3,14,5,0,24,644,1,0,2950.26,1.0339461571727704,0
txn_synth_000004,526.29,UPI,insufficient_funds,0,0.7590043859363174,3,3,9,3,0,6,747,1,0,617.73,0.8519741496774618,0
txn_synth_000005,526.3,Card,insufficient_funds,1,0.5201548788807671,5,3,9,4,0,96,296,2,0,697.37,0.7546926200626264,0
txn_synth_000006,3226.69,Card,invalid_card,0,0.7120359133376177,42,16,14,2,0,0,978,1,0,3285.38,0.9821360056305937,0
txn_synth_000007,1432.87,Netbanking,exceeds_limit,1,0.6506707321718426,25,10,10,0,0,2,457,2,0,2312.84,0.6195283693661109,0
txn_synth_000008,415.93,Card,insufficient_funds,0,0.6146375959723536,6,3,7,1,0,53,347,1,0,530.32,0.7843000304665102,0
txn_synth_000009,1144.31,Card,invalid_card,0,0.8335478937294543,4,2,12,6,0,36,68,1,0,1284.53,0.8908394440702868,0
txn_synth_000010,418.46,UPI,insufficient_funds,1,0.7744834784234318,6,2,9,3,0,17,557,2,0,646.56,0.6472098390372149,0
txn_synth_000011,417.49,UPI,temporary_network_failure,0,0.8700465333277844,10,0,12,1,0,27,168,1,0,612.9,0.6811714687359852,0
txn_synth_000012,847.22,UPI,insufficient_funds,1,0.6210520190088258,7,3,12,4,0,34,324,2,0,489.67,1.7301855998900157,0
txn_synth_000013,98.17,UPI,temporary_network_failure,0,0.4028532216899215,7,3,11,5,0,23,149,1,0,130.22,0.7538779946338509,0
txn_synth_000014,118.52,UPI,temporary_network_failure,0,0.8370022289811626,16,2,10,1,0,1,328,1,0,145.65,0.8137314923630969,1
txn_synth_000015,379.07,Netbanking,temporary_network_failure,2,0.5042416593653378,48,29,8,6,0,17,1055,3,0,450.24,0.8419287304120306,0
txn_synth_000016,241.57,Card,temporary_network_failure,1,0.7666216909987982,13,6,8,0,0,8,207,2,0,159.96,1.5101899531014031,1
txn_synth_000017,910.73,Card,insufficient_funds,1,0.49593646310215195,12,7,12,1,0,16,295,2,0,752.92,1.2095972851086798,0
txn_synth_000018,268.27,UPI,insufficient_funds,1,0.5843045603207224,3,2,9,2,0,96,137,2,0,229.85,1.1671524399759652,0
txn_synth_000019,162.02,Wallet,insufficient_funds,0,0.7468806184794277,8,0,11,1,0,15,136,1,0,182.3,0.8887547510282637,0
txn_synth_000020,2880.3,Card,invalid_card,2,0.8691451827022733,13,2,13,0,0,118,207,3,0,2738.26,1.0518723530567866,0
txn_synth_000021,530.71,Card,invalid_card,0,0.7669548618781258,3,1,9,5,0,39,60,1,0,664.47,0.7986966936250441,1
txn_synth_000022,711.61,UPI,abandoned_otp,0,0.6998664882325332,9,2,13,1,1,43,140,1,0,1153.86,0.6167212606666211,0
txn_synth_000023,160.01,UPI,temporary_network_failure,0,0.5512052926049698,7,3,10,4,0,20,148,1,0,87.26,1.833715123342296,1
txn_synth_000024,385.92,Wallet,insufficient_funds,0,0.3428065550653368,16,9,11,2,0,53,247,1,0,409.05,0.9434543223700202,0
txn_synth_000025,743.17,Netbanking,abandoned_otp,0,0.845775878049602,16,5,9,4,1,87,306,1,0,1041.02,0.7138863738075505,1
txn_synth_000026,210.4,UPI,temporary_network_failure,1,0.6491150389057817,6,1,8,5,0,5,207,2,0,203.09,1.0359938433209983,1
txn_synth_000027,968.45,UPI,insufficient_funds,2,0.5298854167142716,7,3,7,4,0,0,207,3,0,1004.56,0.9640539045546916,0
txn_synth_000028,364.8,Card,insufficient_funds,0,0.40928210138046495,24,12,7,2,0,47,360,1,0,276.18,1.320877640637351,0
txn_synth_000029,496.86,UPI,temporary_network_failure,1,0.6752099097474384,11,6,9,5,1,66,191,2,0,455.21,1.0914962085302125,0
txn_synth_000030,364.42,Netbanking,temporary_network_failure,1,0.6902157413163398,10,2,8,1,0,40,228,2,0,551.89,0.6603127315169195,1
txn_synth_000031,4239.83,Card,exceeds_limit,0,0.766437518110269,6,2,12,2,0,39,236,1,0,5262.97,0.8055964582629267,1
txn_synth_000032,656.22,Card,insufficient_funds,0,0.9148381719825012,16,2,12,4,0,51,669,1,0,485.18,1.3525289304478971,0
txn_synth_000033,230.97,Wallet,insufficient_funds,2,0.5907136918121173,8,5,10,0,0,67,179,3,0,210.49,1.0972967315646,0
txn_synth_000034,1514.05,UPI,temporary_network_failure,1,0.6564167970610973,10,3,9,3,0,5,259,2,0,1324.47,1.1431364912520745,1
txn_synth_000035,196.2,UPI,temporary_network_failure,1,0.4057957273314183,26,14,11,3,0,0,561,2,0,193.49,1.014005839371242,0
txn_synth_000036,819.64,Card,abandoned_otp,3,0.5719078563354024,14,7,9,4,0,48,295,4,0,793.07,1.033502704256841,0
txn_synth_000037,93.72,UPI,temporary_network_failure,0,0.8820796721055543,12,1,9,4,0,28,591,1,0,148.31,0.6319195851985985,1
txn_synth_000038,176.23,Netbanking,abandoned_otp,0,0.5175544574706931,5,0,11,0,1,2,212,1,0,144.77,1.2173101321192143,1
txn_synth_000039,809.86,Card,exceeds_limit,2,0.7665362202374827,14,5,9,4,0,0,300,3,0,1247.34,0.649269640601042,0
txn_synth_000040,1391.96,UPI,insufficient_funds,0,0.8503027872991881,10,1,8,2,0,15,253,1,0,1217.28,1.1435002534872811,1
txn_synth_000041,789.48,Card,insufficient_funds,0,0.7351485753993795,4,1,9,4,1,1,156,1,0,1820.6,0.43363726005911646,0
txn_synth_000042,592.5,UPI,temporary_network_failure,1,0.6594318602588037,6,1,11,6,0,26,164,2,0,692.94,0.8550523731484345,1
txn_synth_000043,492.21,Wallet,insufficient_funds,1,0.8592882000453407,21,2,11,2,0,47,447,2,0,605.49,0.8129118430872212,0
txn_synth_000044,151.64,UPI,temporary_network_failure,0,0.581070712783892,20,11,10,3,0,71,328,1,0,108.12,1.4025155935520166,0
txn_synth_000045,323.81,Wallet,insufficient_funds,0,0.6812352445080498,15,5,8,2,0,23,481,1,0,221.05,1.4648721345907199,0
txn_synth_000046,419.62,Wallet,insufficient_funds,0,0.5520599260779004,19,11,9,6,0,31,348,1,0,526.56,0.7969082194449215,0
txn_synth_000047,1914.33,Wallet,temporary_network_failure,0,0.7400816203265388,21,4,8,6,0,15,562,1,0,2264.72,0.8452832983976681,1
txn_synth_000048,937.88,Netbanking,temporary_network_failure,0,0.8826475403467253,42,4,13,0,0,2,659,1,0,517.15,1.8135550263259206,1
txn_synth_000049,114.09,Card,invalid_card,0,0.6952407081671971,11,3,7,6,0,8,275,1,0,174.51,0.6537733852631148,1
txn_synth_000050,919.73,Wallet,insufficient_funds,0,0.3586848312873945,7,3,8,4,0,14,137,1,0,908.8,1.0120268374556907,1
txn_synth_000051,452.56,Card,invalid_card,0,0.8053777017598194,12,2,12,0,0,5,180,1,0,343.5,1.3174963226347505,0
